file,label,group,color,number
32_0_0001.wav,IY,13,Pink,1
32_0_0002.wav,AA,1,Red,2
32_0_0003.wav,EH,8,Black,3
32_0_0004.wav,AH,3,Black,4
32_0_0005.wav,AE,2,Blue,5
32_0_0006.wav,ER,9,Lime,6
32_0_0007.wav,AH,3,Black,7
32_0_0008.wav,IH,11,Teal,8
32_0_0009.wav,IY,13,Pink,9
32_0_0010.wav,IH,11,Teal,10
32_0_0011.wav,IH,11,Teal,11
32_0_0012.wav,ER,9,Lime,12
32_0_0013.wav,ER,9,Lime,13
32_0_0014.wav,AO,4,Green,14
32_0_0015.wav,IH,11,Teal,15
32_0_0016.wav,UW,17,Cyan,16
32_0_0017.wav,AH,3,Black,17
32_0_0018.wav,EH,8,Black,18
32_0_0019.wav,OW,14,Maroon,19
32_0_0020.wav,IY,13,Pink,20
32_0_0021.wav,AY,7,Magenta,21
32_0_0022.wav,IH,11,Teal,22
32_0_0023.wav,AE,2,Blue,23
32_0_0024.wav,AH,3,Black,24
32_0_0025.wav,UW,17,Cyan,25
32_0_0026.wav,IY,13,Pink,26
32_0_0027.wav,AE,2,Blue,27
32_0_0028.wav,EY,10,Purple,28
32_0_0029.wav,IY,13,Pink,29
32_0_0030.wav,EY,10,Purple,30
32_0_0031.wav,AE,2,Blue,31
32_0_0032.wav,ER,9,Lime,32
32_0_0033.wav,ER,9,Lime,33
32_0_0034.wav,AH,3,Black,34
32_0_0035.wav,ER,9,Lime,35
32_0_0036.wav,AA,1,Red,36
32_0_0037.wav,IY,13,Pink,37
32_0_0038.wav,AA,1,Red,38
32_0_0039.wav,OW,14,Maroon,39
32_0_0040.wav,IY,13,Pink,40
32_0_0041.wav,AH,3,Black,41
32_0_0042.wav,AA,1,Red,42
32_0_0043.wav,AE,2,Blue,43
32_0_0044.wav,IH,11,Teal,44
32_0_0045.wav,EY,10,Purple,45
32_0_0046.wav,AE,2,Blue,46
32_0_0047.wav,AH,3,Black,47
32_0_0048.wav,IH,11,Teal,48
32_0_0049.wav,OY,15,Grey,49
32_0_0050.wav,AA,1,Red,50
32_0_0051.wav,ER,9,Lime,51
32_0_0052.wav,IY,13,Pink,52
32_0_0053.wav,IH,11,Teal,53
32_1_0001.wav,IY,13,Pink,54
32_1_0002.wav,AH,3,Black,55
32_1_0003.wav,UW,17,Cyan,56
32_1_0004.wav,IY,13,Pink,57
32_1_0005.wav,IH,11,Teal,58
32_1_0006.wav,IH,11,Teal,59
32_1_0007.wav,AH,3,Black,60
32_1_0008.wav,IY,13,Pink,61
32_1_0009.wav,EH,8,Black,62
32_1_0010.wav,AE,2,Blue,63
32_1_0011.wav,AE,2,Blue,64
32_1_0012.wav,IY,13,Pink,65
32_1_0013.wav,IY,13,Pink,66
32_1_0014.wav,ER,9,Lime,67
32_1_0015.wav,EH,8,Black,68
32_1_0016.wav,EY,10,Purple,69
32_1_0017.wav,AE,2,Blue,70
32_1_0018.wav,AH,3,Black,71
32_1_0019.wav,EY,10,Purple,72
32_1_0020.wav,EY,10,Purple,73
32_1_0021.wav,AH,3,Black,74
34_0_0001.wav,IY,13,Pink,75
34_0_0002.wav,AA,1,Red,76
34_0_0003.wav,EH,8,Black,77
34_0_0004.wav,AH,3,Black,78
