phone,id,fol,prev,word,start,end,file_name
s,0-0-0-0,e,#,sección,0.0,0.1,habitanteysuesperanza_01_neruda_128kb_00
e,0-0-0-1,ɣ,s,sección,0.1,0.14,habitanteysuesperanza_01_neruda_128kb_00
ɣ,0-0-0-2,s,e,sección,0.14,0.19,habitanteysuesperanza_01_neruda_128kb_00
s,0-0-0-3,j,ɣ,sección,0.19,0.27,habitanteysuesperanza_01_neruda_128kb_00
j,0-0-0-4,õ,s,sección,0.27,0.31,habitanteysuesperanza_01_neruda_128kb_00
õ,0-0-0-5,n,j,sección,0.31,0.37,habitanteysuesperanza_01_neruda_128kb_00
n,0-0-0-6,#,õ,sección,0.37,0.52,habitanteysuesperanza_01_neruda_128kb_00
,0-0-1-0,#,#,,0.52,0.55,habitanteysuesperanza_01_neruda_128kb_00
w,0-0-2-0,a,#,one,0.55,0.63,habitanteysuesperanza_01_neruda_128kb_00
a,0-0-2-1,n,w,one,0.63,0.66,habitanteysuesperanza_01_neruda_128kb_00
n,0-0-2-2,#,a,one,0.66,0.88,habitanteysuesperanza_01_neruda_128kb_00
,0-0-3-0,#,#,,0.88,0.92,habitanteysuesperanza_01_neruda_128kb_00
d̪,0-0-4-0,e,#,de,0.92,1.04,habitanteysuesperanza_01_neruda_128kb_00
e,0-0-4-1,#,d̪,de,1.04,1.37,habitanteysuesperanza_01_neruda_128kb_00
,0-0-5-0,#,#,,1.37,1.53,habitanteysuesperanza_01_neruda_128kb_00
e,0-0-6-0,l,#,el,1.53,1.61,habitanteysuesperanza_01_neruda_128kb_00
l,0-0-6-1,#,e,el,1.61,1.68,habitanteysuesperanza_01_neruda_128kb_00
a,0-0-7-0,β,#,habitante,1.68,1.73,habitanteysuesperanza_01_neruda_128kb_00
β,0-0-7-1,i,a,habitante,1.73,1.78,habitanteysuesperanza_01_neruda_128kb_00
i,0-0-7-2,t̪,β,habitante,1.78,1.83,habitanteysuesperanza_01_neruda_128kb_00
t̪,0-0-7-3,ã,i,habitante,1.83,1.93,habitanteysuesperanza_01_neruda_128kb_00
ã,0-0-7-4,n,t̪,habitante,1.93,2.0,habitanteysuesperanza_01_neruda_128kb_00
n,0-0-7-5,t̪,ã,habitante,2.0,2.08,habitanteysuesperanza_01_neruda_128kb_00
t̪,0-0-7-6,e,n,habitante,2.08,2.17,habitanteysuesperanza_01_neruda_128kb_00
e,0-0-7-7,#,t̪,habitante,2.17,2.2,habitanteysuesperanza_01_neruda_128kb_00
ʃ,0-0-8-0,e,#,y,2.2,2.27,habitanteysuesperanza_01_neruda_128kb_00
